r1c1|r1c2|r1c3|r1c4|r1c5|r1c6|r1c7|r1c8|r1c9|r1c10|r1c11|r1c12|r1c13|r1c14|r1c15|r1c16|r1c17|r1c18|r1c19|r1c20|r1c21|r1c22|r1c23|r1c24|r1c25|r1c26|r1c27|r1c28|r1c29|r1c30|r1c31|r1c32|r1c33|r1c34|r1c35|r1c36|r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100
r1c28|r1c29|r1c30|r1c31|r1c32|r1c33|r1c34|r1c35|r1c36|r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127
r1c29|r1c30|r1c31|r1c32|r1c33|r1c34|r1c35|r1c36|r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128
r1c30|r1c31|r1c32|r1c33|r1c34|r1c35|r1c36|r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129
r1c31|r1c32|r1c33|r1c34|r1c35|r1c36|r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130
r1c32|r1c33|r1c34|r1c35|r1c36|r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131
r1c33|r1c34|r1c35|r1c36|r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132
r1c34|r1c35|r1c36|r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133
r1c35|r1c36|r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134
r1c36|r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135
r1c37|r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136
r1c38|r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137
r1c39|r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138
r1c40|r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139
r1c41|r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140
r1c42|r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141
r1c43|r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142
r1c44|r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143
r1c45|r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143|r1c144
r1c46|r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143|r1c144|r1c145
r1c47|r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143|r1c144|r1c145|r1c146
r1c48|r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143|r1c144|r1c145|r1c146|r1c147
r1c49|r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143|r1c144|r1c145|r1c146|r1c147|r1c148
r1c50|r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143|r1c144|r1c145|r1c146|r1c147|r1c148|r1c149
r1c51|r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143|r1c144|r1c145|r1c146|r1c147|r1c148|r1c149|r1c150
r1c52|r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143|r1c144|r1c145|r1c146|r1c147|r1c148|r1c149|r1c150|r1c151
r1c53|r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143|r1c144|r1c145|r1c146|r1c147|r1c148|r1c149|r1c150|r1c151|r1c152
r1c54|r1c55|r1c56|r1c57|r1c58|r1c59|r1c60|r1c61|r1c62|r1c63|r1c64|r1c65|r1c66|r1c67|r1c68|r1c69|r1c70|r1c71|r1c72|r1c73|r1c74|r1c75|r1c76|r1c77|r1c78|r1c79|r1c80|r1c81|r1c82|r1c83|r1c84|r1c85|r1c86|r1c87|r1c88|r1c89|r1c90|r1c91|r1c92|r1c93|r1c94|r1c95|r1c96|r1c97|r1c98|r1c99|r1c100|r1c101|r1c102|r1c103|r1c104|r1c105|r1c106|r1c107|r1c108|r1c109|r1c110|r1c111|r1c112|r1c113|r1c114|r1c115|r1c116|r1c117|r1c118|r1c119|r1c120|r1c121|r1c122|r1c123|r1c124|r1c125|r1c126|r1c127|r1c128|r1c129|r1c130|r1c131|r1c132|r1c133|r1c134|r1c135|r1c136|r1c137|r1c138|r1c139|r1c140|r1c141|r1c142|r1c143|r1c144|r1c145|r1c146|r1c147|r1c148|r1c149|r1c150|r1c151|r1c152|r1c153
